id,timestamp,symbol,direction,strategy,entry_price,exit_price,qty,position_size_usdc,pnl_usdc,pnl_pct,duration_seconds,exit_reason,tp_pct,sl_pct,trailing_pct,confidence,regime,fear_greed,btc_change_4h,rsi_entry,atr_pct,volume_ratio,indicators_json
1,2026-03-12T18:15:51.057070,BTCUSDC,LONG,mean_reversion,70000,70210,0.00214,150,0.45,0.3,120,TRAILING_STOP,0.3,-99,0.15,75,RANGE,18,1.4,32,0.15,1.2,
2,2026-03-12T18:15:51.057081,XRPUSDC,LONG,mean_reversion,1.4,1.397,107,150,-0.32,-0.21,183,TIMEOUT,0.3,-99,0.15,60,RANGE,18,1.4,38,0.2,0.9,
1,2026-03-12T18:49:11.965756,ETHUSDC,LONG,mean_reversion,2059.58,2063.05,0.0332,68.29269775457001,0.115204,0.1685,187,TIMEOUT,0.25,-99.0,0.15,52.34347933679871,RANGE,18,1.42,33.83,0,0,"{""rsi"": 33.83, ""bb_upper"": 2072.394508, ""bb_lower"": 2063.150492, ""bb_ma"": 2067.7725, ""price"": 2061.81}"
1,2026-03-12T19:06:24.954917,ETHUSDC,LONG,mean_reversion,2059.19,2055.52,0.0331,68.09315539679999,-0.121477,-0.1782,193,TIMEOUT,0.25,-99.0,0.15,50.587252991928665,RANGE,18,1.22,34.71,0,0,"{""rsi"": 34.71, ""bb_upper"": 2072.173822, ""bb_lower"": 2061.187178, ""bb_ma"": 2066.6805, ""price"": 2059.25}"
2,2026-03-12T19:09:17.359825,ADAUSDC,LONG,mean_reversion,0.2618,0.2622,260.2,68.09315539679999,0.10408,0.1528,183,TIMEOUT,0.25,-99.0,0.15,58.4615384615378,RANGE,18,1.22,30.77,0,0,"{""rsi"": 30.77, ""bb_upper"": 0.263232, ""bb_lower"": 0.262198, ""bb_ma"": 0.262715, ""price"": 0.2617}"
3,2026-03-12T19:09:38.540129,ETHUSDC,LONG,mean_reversion,2055.01,2059.06,0.0331,68.09315539679999,0.134055,0.1971,189,TIMEOUT,0.25,-99.0,0.15,57.97237425071768,RANGE,18,1.22,31.01,0,0,"{""rsi"": 31.01, ""bb_upper"": 2072.558009, ""bb_lower"": 2059.718991, ""bb_ma"": 2066.1385, ""price"": 2055.43}"
4,2026-03-12T19:13:19.807184,ETHUSDC,LONG,mean_reversion,2059.45,2057.22,0.0331,68.09315539679999,-0.073813,-0.1083,190,TIMEOUT,0.25,-99.0,0.15,51.27753303964744,RANGE,18,1.11,34.36,0,0,"{""rsi"": 34.36, ""bb_upper"": 2072.033304, ""bb_lower"": 2059.651696, ""bb_ma"": 2065.8425, ""price"": 2059.34}"
1,2026-03-12T20:37:07.590272,ETHUSDC,SHORT,mean_reversion,2067.31,2066.72,0.033,68.12930377714001,0.01947,0.0285,190,TIMEOUT,0.25,-99.0,0.15,61.62921348314666,RANGE,18,1.27,70.81,0,0,"{""rsi"": 70.81, ""bb_upper"": 2060.56981, ""bb_lower"": 2049.95719, ""bb_ma"": 2055.2635, ""price"": 2067.31}"
2,2026-03-12T20:37:08.327234,AVAXUSDC,SHORT,mean_reversion,9.62,9.61,7.08,68.12930377714001,0.0708,0.104,190,TIMEOUT,0.25,-99.0,0.15,58.4615384615374,RANGE,18,1.27,69.23,0,0,"{""rsi"": 69.23, ""bb_upper"": 9.592668, ""bb_lower"": 9.545332, ""bb_ma"": 9.569, ""price"": 9.62}"
3,2026-03-12T20:40:20.272710,ETHUSDC,SHORT,mean_reversion,2067.2,2067.34,0.033,68.12930377714001,-0.00462,-0.0068,180,TIMEOUT,0.25,-99.0,0.15,58.740849194729094,RANGE,18,1.27,69.37,0,0,"{""rsi"": 69.37, ""bb_upper"": 2061.693996, ""bb_lower"": 2049.629004, ""bb_ma"": 2055.6615, ""price"": 2066.94}"
4,2026-03-12T20:40:21.022657,AVAXUSDC,SHORT,mean_reversion,9.62,9.6,7.09,68.12930377714001,0.1418,0.2079,180,TIMEOUT,0.25,-99.0,0.15,53.33333333333235,RANGE,18,1.27,66.67,0,0,"{""rsi"": 66.67, ""bb_upper"": 9.595582, ""bb_lower"": 9.547418, ""bb_ma"": 9.5715, ""price"": 9.61}"
5,2026-03-12T20:43:36.136289,BTCUSDC,SHORT,mean_reversion,70310.11,70315.95,0.00097,68.12930377714001,-0.005665,-0.0083,182,TIMEOUT,0.25,-99.0,0.15,58.18177978182999,RANGE,18,1.23,69.09,0,0,"{""rsi"": 69.09, ""bb_upper"": 70256.606382, ""bb_lower"": 69872.945618, ""bb_ma"": 70064.776, ""price"": 70310.11}"
6,2026-03-12T20:43:36.868936,ETHUSDC,SHORT,mean_reversion,2067.7,2067.59,0.0329,68.12930377714001,0.003619,0.0053,182,TIMEOUT,0.25,-99.0,0.15,57.3167981961667,RANGE,18,1.23,68.66,0,0,"{""rsi"": 68.66, ""bb_upper"": 2063.137595, ""bb_lower"": 2049.342405, ""bb_ma"": 2056.24, ""price"": 2067.35}"
1,2026-03-12T20:59:20.051721,BTCUSDC,SHORT,mean_reversion,70542.99,70497.0,0.00096,68.06849936159,0.04415,0.0652,189,TIMEOUT,0.25,-99.0,0.15,93.9265798761044,RANGE,18,1.57,86.96,0,0,"{""rsi"": 86.96, ""bb_upper"": 70368.223084, ""bb_lower"": 69846.829916, ""bb_ma"": 70107.5265, ""price"": 70542.0}"
2,2026-03-12T20:59:20.801645,ETHUSDC,SHORT,mean_reversion,2070.39,2071.86,0.0329,68.06849936159,-0.048363,-0.071,189,TIMEOUT,0.25,-99.0,0.15,79.45786682380614,RANGE,18,1.57,79.73,0,0,"{""rsi"": 79.73, ""bb_upper"": 2068.122529, ""bb_lower"": 2048.857471, ""bb_ma"": 2058.49, ""price"": 2070.39}"
3,2026-03-12T21:02:41.948501,BTCUSDC,SHORT,mean_reversion,70497.02,70461.6,0.00097,68.06849936159,0.034357,0.0502,190,TIMEOUT,0.25,-99.0,0.15,92.59564739897291,RANGE,18,1.57,86.3,0,0,"{""rsi"": 86.3, ""bb_upper"": 70360.699243, ""bb_lower"": 69849.798757, ""bb_ma"": 70105.249, ""price"": 70496.45}"
4,2026-03-12T21:02:42.696652,ETHUSDC,SHORT,mean_reversion,2071.49,2070.04,0.0329,68.06849936159,0.047705,0.07,190,TIMEOUT,0.25,-99.0,0.15,82.06391087657659,RANGE,18,1.57,81.03,0,0,"{""rsi"": 81.03, ""bb_upper"": 2068.263137, ""bb_lower"": 2048.815863, ""bb_ma"": 2058.5395, ""price"": 2071.38}"
